DocNo,DDate,CustID,Curncy,Creater,OrdAmt,CreateDate
60648,3/18/16,PROT,USD,JUDY,990,3/18/16
5035,3/17/16,VICSA-AR,USD,SHERRY,87847.8,3/17/16
5036,3/17/16,__,NTD,SHERRY,10500,3/17/16
60647,3/17/16,ARTYKUTY,USD,JUDY,7874.6,3/17/16
71340,3/17/16,MULTILENS,USD,ANGELA,2490,3/17/16
71341,3/17/16,HAMM,USD,ANGELA,8928,3/17/16
71342,3/17/16,BOURFU,NTD,ANGELA,145656,3/17/16
60645,3/16/16,VOSS,USD,JUDY,2568,3/16/16
60646,3/16/16,Beaver,USD,JUDY,5325.6,3/16/16
71338,3/16/16,__,NTD,ANGELA,47250,3/16/16
71339,3/16/16,__,NTD,ANGELA,43470,3/16/16
88400,3/16/16,SEKYE,USD,VITA,17854,3/16/16
5034,3/15/16,ANDES,USD,SHERRY,13320,3/15/16
50236,3/15/16,OPTIQUE D,USD,ADISON,148,3/15/16
71337,3/15/16,IL SUK,USD,ANGELA,1070,3/15/16
88398,3/15/16,KONG,USD,VITA,1332,3/15/16
88399,3/15/16,TECHWARE,USD,VITA,480,3/15/16
SG-001,3/15/16,SULLYS,USD,ANGELA,6,5/7/13
5033,3/14/16,ESPO,USD,SHERRY,888.6,3/14/16
50235,3/14/16,SOLID,USD,ADISON,2700,3/14/16
60643,3/14/16,INNOV,USD,JUDY,1760,3/14/16
60644,3/14/16,work safety-1,USD,JUDY,1980,3/14/16
71327,3/14/16,HELLY,EUR,ANGELA,1083,3/14/16
71336,3/14/16,BAN,USD,ANGELA,1117,3/14/16
5032,3/11/16,NOIR,USD,SHERRY,8430,3/11/16
50231,3/11/16,OPTIQUE D,USD,ADISON,260,3/11/16
50234,3/11/16,TOPI,USD,ADISON,2244,3/11/16
60642,3/11/16,Wyler,USD,JUDY,3436,3/11/16
71333,3/10/16,PROT-CAP ,USD,ANGELA,87564,3/10/16
71334,3/10/16,MAPLES,USD,ANGELA,5133.26,3/10/16
71335,3/10/16,CONG ,USD,ANGELA,6192,3/10/16
88396,3/10/16,NAGY,USD,VITA,2028.72,3/10/16
